"Name","advantage.reward.kl_coeff","reference.protocol.weightage.self_preference","reference.update_every_n_steps","winrate"
"Mistral-7B-Base-PPO-KL0.1-SP0.8-UE1-6/6","0.1","0.8","1","0.7890625"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE1-1/6","0.1","1","1","0.75"
"Mistral-7B-Base-PPO-KL0.1-SP0.8-UE3-0/6","0.1","0.8","3","0.734375"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE15-5/6","0.1","1","15","0.6171875"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE15-4/6","0.1","1","15","0.484375"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE7-3/6","0.1","1","7","0.578125"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE30-6/6","0.1","1","30","0.3828125"
"Mistral-7B-Base-PPO-KL0.1-SP0.8-UE3-1/6","0.1","0.8","3","0.6875"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE1-5/6","0.1","1","1","0.796875"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE30-0/6","0.1","1","30","0.4453125"
"Mistral-7B-Base-PPO-KL0.1-SP1.0-UE50-2/6","0.1","1","50","0.78125"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE30-3/6","0.3","1","30","0.4453125"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE7-5/6","0.3","1","7","0.609375"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE15-3/6","0.3","1","15","0.53125"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE3-2/6","0.3","1","3","0.7890625"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE50-5/6","0.3","1","50","0.2109375"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE15-6/6","0.3","1","15","0.453125"
"Mistral-7B-Base-PPO-KL0.3-SP1.0-UE50-1/6","0.3","1","50","0.515625"
